PID,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,BsmtFin SF 1,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Garage Cars,Yr Sold,SalePrice
526301100,31770,6,5,1960,1960,639,1656,1,0,1,0,3,1,2,2010,215000
526350040,11622,5,6,1961,1961,468,896,0,0,1,0,2,1,1,2010,105000
526351010,14267,6,6,1958,1958,923,1329,0,0,1,1,3,1,1,2010,172000
526353030,11160,7,5,1968,1968,1065,2110,1,0,2,1,3,1,2,2010,244000
527105010,13830,5,5,1997,1998,791,1629,0,0,2,1,3,1,2,2010,189900
527105030,9978,6,6,1998,1998,602,1604,0,0,2,1,3,1,2,2010,195500
527127150,4920,8,5,2001,2001,616,1338,1,0,2,0,2,1,2,2010,213500
527145080,5005,8,5,1992,1992,263,1280,0,0,2,0,2,1,2,2010,191500
527146030,5389,8,5,1995,1996,1180,1616,1,0,2,0,2,1,2,2010,236500
527162130,7500,7,5,1999,1999,0,1804,0,0,2,1,3,1,2,2010,189000
527163010,10000,6,5,1993,1994,0,1655,0,0,2,1,3,1,2,2010,175900
527165230,7980,6,7,1992,2007,935,1187,1,0,2,0,3,1,2,2010,185000
527166040,8402,6,5,1998,1998,0,1465,0,0,2,1,3,1,2,2010,180400
527180040,10176,7,5,1990,1990,637,1341,1,0,1,1,2,1,2,2010,171500
527182190,6820,8,5,1985,1985,368,1502,1,0,1,1,1,1,2,2010,212000
527216070,53504,8,5,2003,2003,1416,3279,1,0,3,1,4,1,3,2010,538000
527225035,12134,8,7,1988,2005,427,1752,0,0,2,0,4,1,2,2010,164000
527258010,11394,9,2,2010,2010,1445,1856,1,0,1,1,1,1,3,2010,394432
527276150,19138,4,5,1951,1951,120,864,0,0,1,0,2,1,2,2010,141000
527302110,13175,6,6,1978,1988,790,2073,1,0,2,0,3,1,2,2010,210000
527358140,11751,6,6,1977,1977,705,1844,0,0,2,0,3,1,2,2010,190000
527358200,10625,7,6,1974,1974,885,1173,1,0,2,0,3,1,2,2010,170000
527368020,7500,7,5,2000,2000,533,1674,1,0,2,1,3,1,2,2010,216000
527402200,11241,6,7,1970,1970,578,1004,1,0,1,0,2,1,2,2010,149000
527402250,12537,5,6,1971,2008,734,1078,1,0,1,1,3,1,2,2010,149900
527403020,8450,5,6,1968,1968,775,1056,1,0,1,0,3,1,1,2010,142000
527404120,8400,4,5,1970,1970,804,882,1,0,1,0,2,1,2,2010,126000
